RestaurantID,Cuisine
XjeGryxde-tQZF_Ewu7NCw,korean
uaFHoq-a5XqxF-bsOK9_Qg,chinese
IhSVn0TaX8xXb3wcQ-fgcA,chinese
C29qVHuUDyFoQQPaFOpGfQ,korean
x9wa2M7gvf32swUSBP3uXA,mexican
ypqK8DWM8Bcs43YveSJnNw,american
qu3niqEXOUdNxCCXnSPBYg,chinese
nv0z4xJoHGnQmBkQasYT6g,american
hz75DoiAAMHS1Y6fbubRJQ,healthy
0kFP2UiYHoJHx6d9w1ZNhg,mexican
WbZhH2j8i3GhNsOsviM1VQ,korean
djJhPAJq96b3_NjicH9HIg,pizza
8Gg_SoA5TA7pLNB-xuPhPw,mexican
VC1udoc_sbHdFaBr0-bMsA,indian
yKPRuBvD3ScCc18QrZ4Y6w,mexican
HDoJIH-qW9FqJ5WB-bKTqA,korean
pwzLpR9ys1NkE3ppjT88MQ,italian
rOULM2AE_hLhsb4mcT9ucg,american
l1JScxc5eWUYFmFl6sODgg,chinese
V3Su_F-I09Jm5p1HlI0FXg,american
PqqnNrUtU7XTKQvUM4cyqQ,mexican
FkA9aoMhWO4XKFMTuTnl4Q,mexican
csVEpHy5KJoFvM1qp5XwLQ,american
Pj7vKy-QJBwUokCMji2MZQ,chinese
YKfj-CUjgb9xQ1kN_bhNLg,american
MXstrG3HjF83LcxAd8OpTw,chinese
6ztuhNteBxQB334A98iP8g,american
xTq-F5nRIOV494iKQJxWeA,american
mZkjzTyiu1CzKn-jNBtMcg,american
Y7-Ko38e6vwoiCfGn1xEJA,italian
4wVaJsvTuBTXAMzkhjwccg,american
wAmWk6hQaHjREDVe8z2otA,mexican
hq_lDiSnheYecX6H0hT7Fg,pizza
XZBxx5rdGBBnT2RPSdV8EQ,american
023ivwWL8ruoHsr3-AaGFA,mexican
M7Bl6U2EjxI-n0ksoYtZ8w,american
IY9NuJdUQHkTjBqZYfFNSQ,american
10tnq8x2qI7ix7VqVP0rMw,mexican
I2yalZP2jTSeE1a9GLKF0w,pizza
bgMbt6XbOaAu5VNXr5kCdQ,indian
KYXvNIHVkeTnL4-Rg6F_Cg,healthy
pehKHPaU7Zgqf5SQ0MZmLA,korean
